author,comment,likes,published_at
@SimplilearnOfficial,"""‍🔥Purdue - Professional Certificate in AI and Machine Learning - https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube
‍🔥IITK - Professional Certificate Course in Generative AI and Machine Learning - https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube
‍🔥Microsoft AI Engineer Program - https://www.simplilearn.com/ai-engineer-course?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube
‍🔥Purdue - Applied Generative AI Specialization - https://www.simplilearn.com/applied-ai-course?utm_campaign=lY1SELMvoVs&utm_medium=Comments&utm_source=Youtube""",210,2021-09-08T12:54:19Z
@WanofiHayleysus,D,0,2026-06-30T07:20:38Z
@Daniel-v6i7v,D ai. That develops human emotions over time,0,2026-06-28T14:13:09Z
@Dipankar-s7,B,0,2026-06-28T02:26:39Z
@johnsylvanus-cf2fp,D,0,2026-06-27T16:56:08Z
@MuhammadMairaj-v6f,option A,0,2026-06-20T15:54:55Z
@AbdulRafayAdeel-s2p,I think b option is the correct answer?,0,2026-06-17T10:24:27Z
@KJ_94,"Option D, AI can’t develop emotions",0,2026-06-17T05:57:17Z
@sanasiraj8939,b,0,2026-06-15T09:29:33Z
@MohamadIbrahim-z9p,Ai door gate to steal people money that Elon Musk target like use imposter games account to rip thoususands dollars,0,2026-06-14T16:16:41Z
@MohamadIbrahim-z9p,While doing time florida maximum prison seen blacks rape whites retaliation revenge for slaves ancestors so whites in penitentiary live hell need help,0,2026-06-14T16:10:18Z
@hirutshelemew209,Ante ye dedeboch dedeb ye ewroch Meri AI ye sewn enji en Egziabhern atayemena enkefat honhebgnal ante dedeb ..Atekebet agul awek siluh,0,2026-06-13T14:16:41Z
@Estheraniagolu,Option D,0,2026-06-12T11:02:19Z
@skillsforce,"None, citizenship for sure has been awarded in KSA,  assuming exoskeleton and mimicking mechanics overlayed with artificial material is considered, voice analysis and facial recognition as cognitive intelligence might help predict emotions its implemention might be in experimental mode, AI does evoke emotions which are now seen in Robotic companion dolls.",0,2026-06-10T17:05:42Z
@dipramusinta,C,0,2026-06-10T11:56:35Z
@moacirgiansante6164,Alternative D,0,2026-06-10T10:11:24Z
@sairahusaini,d,0,2026-06-09T05:44:50Z
@SurendraChaudhary-j7s,Anyone not exist,1,2026-06-08T07:06:35Z
@HMpramodini,option a,0,2026-06-05T07:18:20Z
@HMpramodini,,0,2026-06-05T07:17:27Z
@HMpramodini,option ,0,2026-06-05T07:16:44Z
@SravanthiKondapalli0,B,0,2026-06-02T15:05:37Z
@166613,D,0,2026-05-30T14:47:52Z
@AGbasva8636,The answer is D,0,2026-05-29T12:34:30Z
@japsegursumfam,D,0,2026-05-26T01:53:10Z
@footballbreakingnews-y3v,Option D:,0,2026-05-25T17:13:08Z
@ManoharJAISWAL-g5k,C is correct Answer,0,2026-05-19T15:37:46Z
@narayanamahanty9786,D,0,2026-05-14T13:17:40Z
@MLUNGISINCUBE-u1x,the answer is D,0,2026-05-13T19:58:38Z
@Rishika2013asthetic,D,0,2026-05-11T11:57:14Z
@Rishika2013asthetic,D,0,2026-05-11T11:56:44Z
@UmarFaruk-e2e8r,Option  ( D) is the right answer.,0,2026-05-10T03:56:38Z
@vansunagil2016,d,0,2026-05-08T15:01:40Z
@danielaq1221,D,0,2026-04-28T19:35:47Z
@ghazanhadi,D,0,2026-04-27T10:21:56Z
@katherinebailey7705,C,0,2026-04-26T01:56:01Z
@VijayNSoni-t9z,D,0,2026-04-23T04:19:35Z
@jennifersmith4100,The answer is D:  AI that develops emotions over time,0,2026-04-17T21:06:03Z
@iyanuoluwatrado3883,Option D,0,2026-04-17T10:35:16Z
@zusibacamaster7141,b,0,2026-04-11T16:09:08Z
@inside_pragya,There is only answer that's incorreect id D (Ai that devlop emotions over time),0,2026-04-08T05:05:44Z
@kameshablackmon4884,I am going to say D. Looking and listening to the video AI doesn’t develop emotions over time. This was a great video about AI to get the foundation of what AI is and how it works.,0,2026-04-05T19:32:40Z
@Pragyaallrounder,D,0,2026-04-02T08:44:09Z
@Gurudev.Premanand.Bhakat,"Option D is correct 
Because there exists a concept of copying emotions not developing them itself.",0,2026-04-01T01:20:11Z
@faisalazaan2568,d,0,2026-03-30T15:02:20Z
@SNAC.80,"D is the answer,  but key word is ""yet""",0,2026-03-30T04:23:07Z
@SarveshWani-e7w,option d,0,2026-03-25T17:30:50Z
@pedromesh2503,D,0,2026-03-25T09:07:08Z
@ChandhanaKillu,"It's option D.
It lacks emotions.",0,2026-03-23T17:39:45Z
@AyanaTejeshwari,D,0,2026-03-22T08:37:45Z
