video_id,title,channel
lHHyZn2J-zg,KCET 2026 ROUND 1(P) CUTOFF of ARTIFICIAL INTELLIGENCE &amp; MACHINE LEARNING (AI &amp; ML) |#kea #kcet2026 ,Elegant Electronics Dr KSS
ad79nYk2keg,What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,Simplilearn
JcXKbUIebrU,What Is AI? | Learn all about artificial intelligence,Learn Bright
ttIOdAdQaUE,What is Artificial Intelligence? | ChatGPT | The Dr Binocs Show | Peekaboo Kidz,Peekaboo Kidz
hBtVGwuJzpk,AI has hacked the code of human civilization | Yuval Noah Harari,Yuval Noah Harari 
MIp6cox02O4,Purdue University implementing new AI requirements for graduation,CBS News
JMLsHI8aV0g,How China Is Using Artificial Intelligence in Classrooms | WSJ,The Wall Street Journal
JMUxmLyrhSk,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,edureka!
iyVXw-SoUrY,Our latest reports on AI | 60 Minutes Full Episodes,60 Minutes
m8o2GrbR3d8,SIMPLEST Explanation of How Artificial Intelligence Works? No Jargon | What is AI? How AI works?,Science Simplified 4 All
